,district,user_count
597,nagaur,2672
381,jaunpur,2689
21,alwar,2720
624,nellore,2721
711,raigarh,2740
924,viluppuram,2818
193,cuddapah,2831
366,jalgaon,2836
80,bankura,2841
807,sikar,2861
370,jalpaiguri,2874
521,madurai,2904
581,mumbai suburban,2911
516,lucknow,2933
587,muzaffarpur,2966
52,azamgarh,2967
855,surat,2969
473,kolkata,2974
820,solapur,2994
690,pratapgarh,3004
598,nagpur,3043
200,dakshina kannada,3050
474,kollam,3073
556,mayurbhanj,3092
472,kolhapur,3101
769,saran,3104
888,tiruvannamalai,3108
524,mahabubnagar,3164
423,kannur,3179
914,vadodara,3185
603,nalgonda,3191
923,villupuram,3226
192,cuddalore,3245
483,kozhikode,3249
171,chennai,3300
434,karimnagar,3330
104,belgaum,3363
678,patna,3390
942,west godavari,3453
485,krishna,3466
77,bangalore,3546
267,ernakulam,3558
184,chittoor,3615
927,visakhapatnam,3658
689,prakasam,3670
868,thanjavur,3674
887,tiruvallur,3694
103,belagavi,3695
873,thiruvananthapuram,3709
7,ahmadnagar,3723
618,nashik,3739
289,ganjam,3739
654,palakkad,3745
881,tiruchirappalli,3769
593,nadia,3783
49,aurangabad,3825
490,kurnool,3906
9,ahmedabad,3956
557,medak,3967
756,salem,4058
189,coimbatore,4092
918,vellore,4102
315,guntur,4145
699,purba medinipur,4146
671,paschim medinipur,4162
579,mumbai,4183
877,thrissur,4197
867,thane,4236
254,east godavari,4255
882,tirunelveli,4420
416,kancheepuram,4421
345,hooghly,4488
400,k.v. rangareddy,4550
827,south 24 parganas,4560
585,murshidabad,4562
360,jaipur,4670
536,malappuram,4700
350,hyderabad,4984
107,bengaluru,5305
87,barddhaman,5362
634,north 24 parganas,6488
696,pune,6663
